86.591530 -56.256634     11550.268555 -1307.117676     -1307.461182 11564.689453     
87.722435 -56.813213     11528.719727 -1244.288208     -1244.561157 11543.509766     
88.862007 -57.370670     11506.738281 -1181.415039     -1181.613281 11521.904297     
90.010254 -57.928959     11484.322266 -1118.500244     -1118.619507 11499.872070     
91.167221 -58.488033     11461.470703 -1055.546021     -1055.582031 11477.411133     
92.332932 -59.047852     11438.182617 -992.554749     -992.502869 11454.519531     
93.507408 -59.608368     11414.455078 -929.528564     -929.384155 11431.197266     
94.690674 -60.169537     11390.288086 -866.469849     -866.228088 11407.442383     
95.882767 -60.731312     11365.679688 -803.380859     -803.036743 11383.253906     
97.083710 -61.293644     11340.628906 -740.263916     -739.812317 11358.630859     
98.293526 -61.856491     11315.134766 -677.121399     -676.557068 11333.571289     
99.512245 -62.419800     11289.194336 -613.955688     -613.273193 11308.074219     
100.739891 -62.983528     11262.808594 -550.769226     -549.962952 11282.139648     
101.976494 -63.547619     11235.974609 -487.564484     -486.628571 11255.764648     
103.222076 -64.112022     11208.691406 -424.343933     -423.272400 11228.948242     
104.476669 -64.676697     11180.958008 -361.110016     -359.896729 11201.690430     
105.740295 -65.241592     11152.772461 -297.865326     -296.503906 11173.988281     
107.012985 -65.806648     11124.133789 -234.612411     -233.096313 11145.841797     
108.294762 -66.371819     11095.041016 -171.353836     -169.676346 11117.249023     
109.585648 -66.937050     11065.492188 -108.092247     -106.246437 11088.208008     
110.885681 -67.502289     11035.486328 -44.830280     -42.809029 11058.718750     
112.194878 -68.067482     11005.022461 18.429380     20.633410 11028.779297     
113.513275 -68.632576     10974.098633 81.684029     84.078369 10998.388672     
114.840881 -69.197517     10942.713867 144.930908     147.523331 10967.545898     
116.177734 -69.762245     10910.867188 208.167252     210.965729 10936.250000     
117.523865 -70.326706     10878.556641 271.390259     274.402985 10904.498047     
118.879280 -70.890846     10845.781250 334.597076     337.832489 10872.291016     
120.244026 -71.454605     10812.540039 397.784851     401.251587 10839.625977     
121.618118 -72.017921     10778.831055 460.950684     464.657654 10806.502930     
123.001579 -72.580742     10744.653320 524.091614     528.047974 10772.919922     
124.394440 -73.143005     10710.005859 587.204712     591.419800 10738.875977     
125.796722 -73.704659     10674.886719 650.286865     654.770325 10704.370117     
127.208450 -74.265633     10639.294922 713.335083     718.096802 10669.400391     
128.629654 -74.825867     10603.230469 776.346313     781.396423 10633.965820     
130.060364 -75.385292     10566.690430 839.317444     844.666382 10598.066406     
131.500595 -75.943855     10529.674805 902.245300     907.903748 10561.699219     
132.950348 -76.501488     10492.181641 965.126648     971.105591 10524.865234     
134.409683 -77.058128     10454.209961 1027.958374     1034.268921 10487.561523     
135.878616 -77.613716     10415.758789 1090.737183     1097.390869 10449.787109     
137.357162 -78.168175     10376.826172 1153.459595     1160.468384 10411.541016     
138.845337 -78.721443     10337.412109 1216.122559     1223.498413 10372.822266     
140.343170 -79.273460     10297.514648 1278.722534     1286.477783 10333.629883     
141.850693 -79.824142     10257.132812 1341.255981     1349.403442 10293.961914     
143.367935 -80.373436     10216.265625 1403.719604     1412.272339 10253.818359     
144.894882 -80.921257     10174.912109 1466.109863     1475.081299 10213.197266     
146.431595 -81.467545     10133.071289 1528.423218     1537.826782 10172.097656     
147.978073 -82.012222     10090.741211 1590.656128     1600.505859 10130.519531     
149.534332 -82.555214     10047.922852 1652.804932     1663.115112 10088.459961     
151.100418 -83.096451     10004.613281 1714.865845     1725.651245 10045.919922     
152.676331 -83.635864     9960.812500 1776.835327     1788.110718 10002.896484     
154.262085 -84.173370     9916.518555 1838.709473     1850.490479 9959.390625     
155.857712 -84.708900     9871.731445 1900.484619     1912.786865 9915.399414     
157.463242 -85.242371     9826.449219 1962.156738     1974.996216 9870.922852     
159.078674 -85.773705     9780.671875 2023.722046     2037.115234 9825.959961     
160.704041 -86.302826     9734.397461 2085.176758     2099.140137 9780.509766     
162.339355 -86.829651     9687.626953 2146.516602     2161.067627 9734.570312     
163.984619 -87.354103     9640.357422 2207.737793     2222.893799 9688.142578     
165.639862 -87.876106     9592.589844 2268.836426     2284.615234 9641.223633     
167.305084 -88.395569     9544.321289 2329.807861     2346.228027 9593.814453     
168.980331 -88.912415     9495.552734 2390.648438     2407.728516 9545.913086     
170.665588 -89.426559     9446.283203 2451.353516     2469.112793 9497.518555     
172.360886 -89.937912     9396.511719 2511.919189     2530.376953 9448.629883     
174.066223 -90.446381     9346.238281 2572.341064     2591.517090 9399.247070     
175.781616 -90.951897     9295.461914 2632.614746     2652.529297 9349.370117     
